SubmissionDate,starttime,endtime,deviceid,devicephonenum,username,device_info,duration,caseid,Date,Enumerator,Hospital,BAT,BST,BET,Breakfast,LAT,LST,LET,Lunch,Male,Female,Female_caregivers,Male_caregivers,age_group_1,age_group_2,age_group_3,age_group_4,age_group_5,Kigali,South,East,North,West,DAT,DST,DET,Dinner,Challenge_satisfaction,Recommendation,Audio,Image,instanceID,formdef_version,KEY
"7/7/2024, 10:24:17 PM","6/24/2024, 12:08:38 PM","7/7/2024, 10:24:13 PM",7c70df7870e72e35,,nyarugenge,samsung|SM-X115|14|SurveyCTO Collect 2.81.2 (3771098),1035,,6/24/2024,,0,,,,50,,,,55,,,,,,,,,,,,,,,,,,50,,,,,uuid:89997b9d-6d30-4364-8f02-7ed822d4894c,2406240919,uuid:89997b9d-6d30-4364-8f02-7ed822d4894c
"7/7/2024, 10:59:00 PM","6/24/2024, 12:08:38 PM","7/7/2024, 10:58:45 PM",8019ca619089eaaa,,muhima,samsung|SM-X115|14|SurveyCTO Collect 2.81.2 (3771098),1058,,6/24/2024,,0,,,,95,,,,32,,,,,,,,,,,,,,,,,,12,,,,,uuid:20101ed4-3833-449f-9580-73175963fbbe,2406240919,uuid:20101ed4-3833-449f-9580-73175963fbbe
"8/1/2024, 10:57:07 PM","8/1/2024, 9:06:01 PM","8/1/2024, 10:56:49 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),4238,,8/1/2024,3,1,6:26:00 AM,6:45:01 AM,7:30:14 AM,,1:04:57 PM,1:27:15 PM,2:36:06 PM,175,53,68,,,,,,,,,,,,,3:58:20 PM,4:07:46 PM,4:52:09 PM,152,all patients and caregivers satisfied by common soup we serve them today.,"today in masaka hospital we gave tickets of get food.caregivers was happy for its because used to get food. and also caregivers and patients enjoyed common soup was get on lunch.

while i was serving meals in tuberculosis ward,i find new patient who came today in hospital, he suprised by meals we prepared for tuberculosis patients like milk, eggs and fruits.he impressed by gemura program and those services we give them increase hope of recovery quickly.",,,uuid:cb8159ed-8192-4f82-8f76-c5443e5538da,2407301816,uuid:cb8159ed-8192-4f82-8f76-c5443e5538da
"8/2/2024, 6:51:40 PM","8/2/2024, 6:04:57 AM","8/2/2024, 6:51:19 PM",2228bfbb108d29cb,,muhima,google|Pixel 3a|12|SurveyCTO Collect 2.81.2 (3771098),5000,,8/1/2024,4,3,6:42:07 AM,6:55:09 AM,7:44:11 AM,,12:18:34 PM,12:29:35 PM,2:39:49 PM,110,6,70,,,,,,,,,,,,,5:10:06 PM,5:19:30 PM,6:25:39 PM,81,"to day we had good time!! meals were satisfying and served in sufficient quantities for all sessions, bringing happiness to the beneficiaries. For breakfast, everyone enjoyed porridge, bread.

there are  patients pediatric who talk to us. they tell us that they have been in the hospital for days. they told us the baby came was in a very bad condition! He didn't  to take do anything! but he eat all the meals! He really appreciates seeing so many changes.",None,,,uuid:8dea842a-47a9-456f-a914-eb805c328cb3,2407301816,uuid:8dea842a-47a9-456f-a914-eb805c328cb3
"8/2/2024, 11:31:28 PM","8/2/2024, 7:50:50 PM","8/2/2024, 11:31:19 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),4428,,8/2/2024,3,1,6:45:29 AM,6:59:38 AM,7:52:48 AM,,1:49:20 PM,2:08:00 PM,1:58:05 PM,163,54,72,,,,,,,,,,,,,3:55:33 PM,4:07:06 PM,4:42:53 PM,147,"to day patients enjoyed common fruits we gave them, it's help to increase energy in body which help to recovery .

there is woman in internal medecine she is in bad condition, she can not able to eat but she trying to drink. her caregiver told me that, they come from eastern provine in Rwamagana. to get food and others facilities for patient are very hard. but sh's thanking solid africa for support giving them. especially gemura program and paying medical bills but  now we are feeding her pottage, porredge and milk because she can not eat special food.",all patients and caregivers are satisfied the meals we feeded them.,,,uuid:584cd8f1-3063-4846-b862-c1fe042f5882,2407301816,uuid:584cd8f1-3063-4846-b862-c1fe042f5882
"8/4/2024, 8:42:03 AM","8/3/2024, 3:32:52 PM","8/4/2024, 8:41:55 AM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),2609,,8/3/2024,3,1,6:10:20 AM,6:49:37 AM,7:47:56 AM,,12:35:05 PM,12:43:18 PM,1:45:39 PM,169,62,71,,,,,,,,,,,,,4:45:38 PM,5:03:01 PM,5:32:17 PM,141,to day we gave enough meals to all patients and caregivers and they satisfied.,"in internal medicine, there.was woman suffering from abdominal tumors, who told me anything she ate and vomit it. but to day she told me that since i started to give her, milk and pottage she doesn't vomit anymore that it is getting easier.

another women in neonatology told me that the food we give them it's help them increase their breastfeeding. especially the vegetables and bananas we gave them. they told me that they hope to leave the hospital soon.",,,uuid:eb46e436-12d4-410d-a87e-778c56a4b98a,2407301816,uuid:eb46e436-12d4-410d-a87e-778c56a4b98a
"8/4/2024, 11:51:16 PM","8/3/2024, 12:46:20 PM","8/4/2024, 11:51:09 PM",2228bfbb108d29cb,,muhima,google|Pixel 3a|12|SurveyCTO Collect 2.81.2 (3771098),1908,,8/2/2024,4,3,6:40:41 AM,6:52:47 AM,7:30:01 AM,,12:27:13 PM,12:53:39 PM,1:45:51 PM,114,7,69,,,,,,,,,,,,,4:45:16 PM,5:09:17 PM,5:49:18 PM,93,None,"Today, the meals provided were satisfactory for the beneficiaries. For breakfast, we offered porridge and bread, which all received. At lunchtime, we served rice and vegetables, all of which were appreciated by the patients. Dinner consisted of bananas mixed with beans and vegetables, accompanied by tea, which was also well-received by all beneficiaries.",,,uuid:2138e95b-8d21-4bdf-8c67-e875d4e168ba,2407301816,uuid:2138e95b-8d21-4bdf-8c67-e875d4e168ba
"8/5/2024, 5:14:15 PM","8/4/2024, 8:58:06 PM","8/5/2024, 5:14:03 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),2239,,8/4/2024,3,1,6:30:56 AM,6:42:00 AM,7:37:35 AM,,1:03:01 PM,1:15:17 PM,2:21:37 PM,159,44,69,,,,,,,,,,,,,3:53:41 PM,4:16:53 PM,4:55:31 PM,134,"to day the patients and care givers got the meals and they were satisfied with it, but the women in neonatology asked me to give them milk tea for dinner because the black tea makes them lose breast milk.","there was a patients who had an ulcer im surgery for two years and he told me that it caused by the prosthesis he wore on his legs and it hurt him, but to day he told me that since we started giving him eggs and milk his ulcer has changed.",,,uuid:8925b921-75a0-44f8-86c8-6651b5a4bd90,2407301816,uuid:8925b921-75a0-44f8-86c8-6651b5a4bd90
"8/6/2024, 10:53:22 AM","8/5/2024, 5:30:57 PM","8/6/2024, 10:53:13 AM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),2083,,8/5/2024,3,1,6:26:48 AM,6:45:05 AM,7:33:18 AM,,1:30:03 PM,1:42:11 PM,2:22:40 PM,166,56,72,,,,,,,,,,,,,4:55:42 PM,5:07:55 PM,5:47:20 PM,147,"all patients and care givers are happy and thanking meals we served them, it helping the patients especially special diets.","there was a child who sick in pediatric ward she have a problem of faint she spend two months in the hospital and we visited her and start take care to her our meals help her to get energy, especially, milk, egg and food for children. it's helping to recovery.",,,uuid:4a638c28-c863-4654-b358-c42a370455bd,2407301816,uuid:4a638c28-c863-4654-b358-c42a370455bd
"8/6/2024, 11:58:59 AM","8/5/2024, 6:37:08 AM","8/6/2024, 11:58:44 AM",2228bfbb108d29cb,,muhima,google|Pixel 3a|12|SurveyCTO Collect 2.81.2 (3771098),2832,,8/3/2024,4,3,6:35:38 AM,6:49:04 AM,7:28:05 AM,,1:19:47 PM,1:36:04 PM,2:28:37 PM,101,10,60,,,,,,,,,,,,,6:08:49 PM,6:12:03 PM,12:31:14 PM,75,None,"patient spoke to us. He became very il. He was sick in Abortion but according to his condition, his life is different. We visited him but he wasn't too bad!! But he came and he couldn't do anything.. And he couldn't tolk to us properly and now he wakes up. We bless them",,,uuid:00cad966-2183-4a42-a312-20bf661e9194,2407301816,uuid:00cad966-2183-4a42-a312-20bf661e9194
"8/7/2024, 3:34:22 PM","8/6/2024, 11:27:26 AM","8/7/2024, 3:34:15 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),2104,,8/6/2024,3,1,6:50:05 AM,6:57:15 AM,7:47:32 AM,,12:28:51 PM,12:44:04 PM,1:37:36 PM,169,51,69,,,,,,,,,,,,,4:55:22 PM,5:07:39 PM,5:47:56 PM,142,all patients and caregivers are satisfied with the meals we served them. we also provided milk powder(aptamil) to mothers with children in neonatology.,"there was a mother whose son was sick in surgery ward. he was suffering from tumor on his privat part of body. after two weeks we gave special diet, milk and egg to day they are discharged from hospital because they are well. his mother thanked me very much for the way we took care of her and his son. the eggs and milk we gave him every day helped him recover quickly.",,,uuid:ea036e4a-34d1-451f-a132-60901d3c5eb4,2407301816,uuid:ea036e4a-34d1-451f-a132-60901d3c5eb4
