SubmissionDate,starttime,endtime,deviceid,devicephonenum,username,device_info,duration,caseid,Date,Enumerator,Hospital,Diet,Breakfast,Lunch,Dinner,Male,Female,a9_4,a5_13,a14_18,a19_25,a25_,k1,w2,s3,e4,n5,instanceID,formdef_version,KEY
"7/7/2024, 10:24:03 PM","6/24/2024, 12:47:44 PM","6/24/2024, 1:03:47 PM",7c70df7870e72e35,,nyarugenge,samsung|SM-X115|14|SurveyCTO Collect 2.81.2 (3771098),641,,6/24/2024,,4,,3,5,3,33,3,,,,,,,,,,,uuid:8a3c08d9-02c1-4df0-8920-ba6d6051f960,2406230052,uuid:8a3c08d9-02c1-4df0-8920-ba6d6051f960
"7/7/2024, 10:58:34 PM","6/24/2024, 12:47:26 PM","6/24/2024, 1:03:25 PM",8019ca619089eaaa,,muhima,samsung|SM-X115|14|SurveyCTO Collect 2.81.2 (3771098),503,,6/24/2024,,3,,2,2,3,2,0,,,,,,,,,,,uuid:95dc5393-5807-4385-89da-0114b8eeb3b3,2406230052,uuid:95dc5393-5807-4385-89da-0114b8eeb3b3
"8/2/2024, 11:24:17 AM","8/1/2024, 10:40:53 AM","8/2/2024, 11:04:28 AM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),619,,8/1/2024,4,1,,0,20,14,8,12,,,,,,,,,,,uuid:4d968ee1-7903-4533-ba59-882d0a3bfb12,2407301809,uuid:4d968ee1-7903-4533-ba59-882d0a3bfb12
"8/2/2024, 11:24:18 AM","8/2/2024, 11:04:35 AM","8/2/2024, 11:15:06 AM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),615,,8/1/2024,4,1,,0,17,11,0,17,,,,,,,,,,,uuid:9c98ebe0-e64f-40e4-8539-ffa0c039a150,2407301809,uuid:9c98ebe0-e64f-40e4-8539-ffa0c039a150
"8/2/2024, 11:24:18 AM","8/2/2024, 11:15:14 AM","8/2/2024, 11:16:38 AM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),84,,8/1/2024,4,1,,0,3,0,2,1,,,,,,,,,,,uuid:dabf6d7a-8b30-4dd2-a4e7-277cfa1a78f8,2407301809,uuid:dabf6d7a-8b30-4dd2-a4e7-277cfa1a78f8
"8/2/2024, 11:24:18 AM","8/2/2024, 11:16:44 AM","8/2/2024, 11:19:18 AM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),154,,8/1/2024,4,1,,0,3,0,1,2,,,,,,,,,,,uuid:a05fbc12-8eec-4fbf-a302-e64b5bbd2641,2407301809,uuid:a05fbc12-8eec-4fbf-a302-e64b5bbd2641
"8/2/2024, 11:24:19 AM","8/2/2024, 11:19:22 AM","8/2/2024, 11:23:48 AM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),266,,8/1/2024,4,1,,0,19,15,7,12,,,,,,,,,,,uuid:e02cd494-b8af-41f3-845f-90debac48c05,2407301809,uuid:e02cd494-b8af-41f3-845f-90debac48c05
"8/2/2024, 10:57:04 PM","8/2/2024, 9:29:34 PM","8/2/2024, 9:46:22 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),327,,8/2/2024,4,1,,0,17,14,6,11,,,,,,,,,,,uuid:ae37b506-407c-427b-968d-69e7ff128a30,2407301809,uuid:ae37b506-407c-427b-968d-69e7ff128a30
"8/2/2024, 10:57:04 PM","8/2/2024, 9:46:34 PM","8/2/2024, 9:50:42 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),248,,8/2/2024,4,1,,0,19,17,0,19,,,,,,,,,,,uuid:f998d46b-c1fe-45f5-8e9e-3def55a3854c,2407301809,uuid:f998d46b-c1fe-45f5-8e9e-3def55a3854c
"8/2/2024, 10:57:04 PM","8/2/2024, 9:50:46 PM","8/2/2024, 9:54:08 PM",0ddcca6db3c774ee,,masaka,Infinix|Infinix X6516|12|SurveyCTO Collect 2.81.2 (3771098),202,,8/2/2024,4,1,,0,5,5,4,1,,,,,,,,,,,uuid:9e5635d1-6071-40ce-8e42-e35ca988d3fb,2407301809,uuid:9e5635d1-6071-40ce-8e42-e35ca988d3fb
